word,lexicon
haber,spanish
habían,spanish
hacemos,spanish
hacen,spanish
hacer,spanish
hacerle,spanish
hacerles,spanish
hacerlo,spanish
hacia,spanish
hacía,spanish
hago,spanish
harta,spanish
harto,spanish
hartos,spanish
hechas,spanish
hecho,spanish
hechos,spanish
heidi,spanish
hice,spanish
hola,spanish
huyó,spanish
ian,spanish
ido,spanish
ignacia,spanish
ignacio,spanish
igual,spanish
inicio,spanish
ir,spanish
irma,spanish
isaac,spanish
isacc,spanish
isidora,spanish
issac,spanish
ivana,spanish
iván,spanish
javier,spanish
javiera,spanish
jeanette,spanish
jessica,spanish
jimena,spanish
joaquín,spanish
joel,spanish
johana,spanish
jonel,spanish
jorge,spanish
josé,spanish
juan,spanish
juancho,spanish
julieta,spanish
julián,spanish
kevin,spanish
kristel,spanish
lado,spanish
lala,spanish
larga,spanish
largas,spanish
lejos,spanish
leono,spanish
levantan,spanish
levantarse,spanish
lienant,spanish
lienantu,spanish
lisa,spanish
lisardo,spanish
lislao,spanish
llaman,spanish
llegada,spanish
llegan,spanish
llegar,spanish
llena,spanish
llenamos,spanish
llenas,spanish
lleno,spanish
lleva,spanish
llevamos,spanish
llevar,spanish
loreto,spanish
lourdes,spanish
lucas,spanish
luego,spanish
luisa,spanish
lupita,spanish
malén,spanish
mana,spanish
manolo,spanish
manuel,spanish
manuela,spanish
mario,spanish
marion,spanish
marlon,spanish
martina,spanish
martín,spanish
maría,spanish
mas,spanish
mateo,spanish
max,spanish
maxi,spanish
medio,spanish
menos,spanish
metemos,spanish
miaumiau,spanish
michelle,spanish
mientras,spanish
miguel,spanish
miles,spanish
misma,spanish
mismo,spanish
mismos,spanish
monserrat,spanish
montón,spanish
movían,spanish
mucha,spanish
muchas,spanish
muchísimo,spanish
muchísimos,spanish
muuucho,spanish
mío,spanish
nadie,spanish
nahuel,spanish
nanito,spanish
natalia,spanish
nazaret,spanish
nelsón,spanish
nibaldo,spanish
no,spanish
noelia,spanish
nomas,spanish
nunca,spanish
néstor,spanish
ocho,spanish
octavio,spanish
pablo,spanish
panchita,spanish
panki,spanish
paraban,spanish
parece,spanish
parte,spanish
pasa,spanish
patricia,spanish
paulo,spanish
pedimos,spanish
pedro,spanish
pepe,spanish
pepina,spanish
persigo,spanish
persiguen,spanish
pillé,spanish
pocas,spanish
pocos,spanish
pone,spanish
ponen,spanish
ponerle,spanish
poquito,spanish
prepararla,spanish
primer,spanish
primero,spanish
priscila,spanish
próxima,spanish
próximo,spanish
puedas,spanish
puede,spanish
pueden,spanish
puedes,spanish
puedo,spanish
pues,spanish
punta,spanish
purple,spanish
puse,spanish
pusimos,spanish
queda,spanish
quedan,spanish
quinturay,spanish
quiroz,spanish
quizás,spanish
quién,spanish
qwea,spanish
rafa,spanish
ramón,spanish
raquel,spanish
regaló,spanish
renata,spanish
richard,spanish
ricky,spanish
rodeados,spanish
rodolfo,spanish
rodrigo,spanish
roxana,spanish
rubén,spanish
rumi,spanish
sabrina,spanish
saca,spanish
sacaban,spanish
sacamos,spanish
sale,spanish
salen,spanish
salgo,spanish
salido,spanish
salimos,spanish
salió,spanish
sami,spanish
samir,spanish
san,spanish
sanchéz,spanish
sao,spanish
sayuri,spanish
scar,spanish
seba,spanish
seguir,spanish
según,spanish
ser,spanish
si,spanish
siempre,spanish
siete,spanish
siguen,spanish
simón,spanish
sirve,spanish
sofi,spanish
sofia,spanish
sofía,spanish
solamente,spanish
sole,spanish
stevens,spanish
suben,spanish
subida,spanish
subimos,spanish
suelen,spanish
super,spanish
sánchez,spanish
sé,spanish
tambien,spanish
tan,spanish
tayná,spanish
temprano,spanish
tequila,spanish
teresa,spanish
thiago,spanish
tichi,spanish
tipos,spanish
tiramos,spanish
tiras,spanish
toby,spanish
toda,spanish
todas,spanish
todavía,spanish
toin,spanish
tomarla,spanish
tomás,spanish
tortuguin,spanish
trajo,spanish
trataba,spanish
tratar,spanish
tres,spanish
unas,spanish
usa,spanish
usamos,spanish
ustedes,spanish
va,spanish
vale,spanish
valentina,spanish
van,spanish
varias,spanish
varios,spanish
vas,spanish
veces,spanish
ven,spanish
vez,spanish
viene,spanish
vienen,spanish
violeta,spanish
voy,spanish
vuelven,spanish
waddington,spanish
wallace,spanish
william,spanish
zanca,spanish
único,spanish
