book_id,group,filename,title_es,title_en,author,series,series_position,year_first_edition,audience,original_language,translated,notes
CMP27,Comparison,Harry Potter y el prisionero de Azkaban.txt,Harry Potter y el prisionero de Azkaban,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,Harry Potter,3,1999,children,en,TRUE,
CMP28,Comparison,Harry Potter y la camara secreta.txt,Harry Potter y la cámara secreta,Harry Potter and the Chamber of Secrets,J. K. Rowling,Harry Potter,2,1998,children,en,TRUE,
CMP29,Comparison,Harry Potter y la orden del fenix.txt,Harry Potter y la orden del fénix,Harry Potter and the Order of the Phoenix,J. K. Rowling,Harry Potter,5,2003,young_adult,en,TRUE,
CMP30,Comparison,Harry Potter y la piedra filosofal.txt,Harry Potter y la piedra filosofal,Harry Potter and the Philosopher's Stone,J. K. Rowling,Harry Potter,1,1997,children,en,TRUE,
CMP31,Comparison,Harry Potter y las reliquias de la muerte.txt,Harry Potter y las reliquias de la muerte,Harry Potter and the Deathly Hallows,J. K. Rowling,Harry Potter,7,2007,young_adult,en,TRUE,
CMP32,Comparison,Historias fantasticas.txt,Historias fantásticas,Skeleton Crew,Stephen King,,,1985,adult,en,TRUE,Short story collection rather than a novel
CMP33,Comparison,La Expedicion.txt,La expedición,The Jaunt,Stephen King,,,1981,adult,en,TRUE,Novella
CMP34,Comparison,La Historia Interminable.txt,La historia interminable,The Neverending Story,Michael Ende,,,1979,children,de,TRUE,
CMP35,Comparison,La emperatriz de los Etereos.txt,La emperatriz de los Etéreos,The Empress of the Ethereal,Laura Gallego García,,,2007,young_adult,es,FALSE,
CMP36,Comparison,La torre Oscura.txt,La torre oscura: el pistolero,The Dark Tower: The Gunslinger,Stephen King,La torre oscura,1,1982,adult,en,TRUE,
CMP37,Comparison,Las espadas del cazador Las dos espadas.txt,Las dos espadas,The Two Swords,R. A. Salvatore,Las espadas del cazador,3,2004,adult,en,TRUE,
CMP38,Comparison,Las espadas del cazador Los Senderos de la Muerte.txt,Los senderos de la muerte,The Lone Drow,R. A. Salvatore,Las espadas del cazador,2,2003,adult,en,TRUE,
CMP39,Comparison,Paulo Coelho El Alquimista.txt,El alquimista,The Alchemist,Paulo Coelho,,,1988,adult,pt,TRUE,
CMP40,Comparison,Percy Jackson y Los Olimpicos El ladron del rayo.txt,El ladrón del rayo,The Lightning Thief,Rick Riordan,Percy Jackson y los dioses del Olimpo,1,2005,young_adult,en,TRUE,
CMP41,Comparison,Percy Jackson y Los Olimpicos El mar de los monstruos.txt,El mar de los monstruos,The Sea of Monsters,Rick Riordan,Percy Jackson y los dioses del Olimpo,2,2006,young_adult,en,TRUE,
CMP42,Comparison,Percy Jackson y Los Olimpicos La batalla del laberinto.txt,La batalla del laberinto,The Battle of the Labyrinth,Rick Riordan,Percy Jackson y los dioses del Olimpo,4,2008,young_adult,en,TRUE,
CMP43,Comparison,Percy Jackson y Los Olimpicos La maldicion del Titan.txt,La maldición del titán,The Titan's Curse,Rick Riordan,Percy Jackson y los dioses del Olimpo,3,2007,young_adult,en,TRUE,
CMP44,Comparison,Peter Pan.txt,Peter Pan,Peter Pan,J. M. Barrie,,,1911,children,en,TRUE,
CMP45,Comparison,Resident Evil Hora Cero.txt,Hora cero,Zero Hour,S. D. Perry,Resident Evil,7,2004,adult,en,TRUE,
CMP46,Comparison,Resident Evil La conspiracion Umbrella.txt,La conspiración Umbrella,The Umbrella Conspiracy,S. D. Perry,Resident Evil,1,1998,adult,en,TRUE,
CMP47,Comparison,Sendas de tinieblas El Siervo de La Piedra.txt,El siervo de la piedra,Servant of the Shard,R. A. Salvatore,Sendas de tinieblas,3,2000,adult,en,TRUE,
CMP48,Comparison,Sendas de tinieblas El estigma de Errtu.txt,El estigma de Errtu,The Spine of the World,R. A. Salvatore,Sendas de tinieblas,2,1999,adult,en,TRUE,
CMP49,Comparison,Sendas de tinieblas El mar de las espadas.txt,El mar de las espadas,Sea of Swords,R. A. Salvatore,Sendas de tinieblas,4,2001,adult,en,TRUE,
CMP50,Comparison,Sendas de tinieblas La columna del mundo.txt,La columna del mundo,The Silent Blade,R. A. Salvatore,Sendas de tinieblas,1,1998,adult,en,TRUE,
CMP51,Comparison,Serie Diarios Vampiricos Conflicto The Struggle.txt,Conflicto,The Struggle,L. J. Smith,Crónicas vampíricas,2,1991,young_adult,en,TRUE,
CMP52,Comparison,Serie Diarios Vampiricos Despertar Awakening.txt,Despertar,The Awakening,L. J. Smith,Crónicas vampíricas,1,1991,young_adult,en,TRUE,
CMP53,Comparison,Serie Diarios Vampiricos El regreso Anochecer.txt,El regreso: anochecer,The Return: Nightfall,L. J. Smith,Crónicas vampíricas,5,2009,young_adult,en,TRUE,
CMP54,Comparison,Serie Diarios Vampiricos Furia The Fury.txt,Furia,The Fury,L. J. Smith,Crónicas vampíricas,3,1991,young_adult,en,TRUE,
CMP55,Comparison,Serie Diarios Vampiricos Invocacion Dark Reunion.txt,Invocación,Dark Reunion,L. J. Smith,Crónicas vampíricas,4,1992,young_adult,en,TRUE,
CMP56,Comparison,Stardust.txt,Stardust,Stardust,Neil Gaiman,,,1999,adult,en,TRUE,
CMP57,Comparison,The Dead Zone.txt,La zona muerta,The Dead Zone,Stephen King,,,1979,adult,en,TRUE,Filename keeps the English title; the text is the Spanish translation
CMP58,Comparison,Umberto Eco El Nombre de la Rosa.txt,El nombre de la rosa,The Name of the Rose,Umberto Eco,,,1980,adult,it,TRUE,
CMP59,Comparison,Vampiratas Demonios del Oceano.txt,Demonios del océano,Demons of the Ocean,Justin Somper,Vampiratas,1,2005,young_adult,en,TRUE,
CMP60,Comparison,Vampiratas Emboscada en el Oceano.txt,Emboscada en el océano,Tide of Terror,Justin Somper,Vampiratas,2,2006,young_adult,en,TRUE,Spanish title of book 2 varies across editions
CMP61,Comparison,Vampiratas Sangre de Capitan.txt,Sangre de capitán,Blood Captain,Justin Somper,Vampiratas,3,2007,young_adult,en,TRUE,
CMP62,Comparison,Vampiratas Una ola de Terror.txt,Una ola de terror,Tide of Terror,Justin Somper,Vampiratas,4,2006,young_adult,en,TRUE,Spanish titles of books 2 and 4 overlap across editions; verify against the source files
CMP63,Comparison,Viaje al Centro de la Tierra.txt,Viaje al centro de la Tierra,Journey to the Centre of the Earth,Jules Verne,,,1864,young_adult,fr,TRUE,
