"id_libro","titulo","nivel_asignado","nivel_predicho","delta","modelo","desajustado_modelo","n_metricas_extremas","metricas"
"L0289","Canto a su amor desaparecido",11,7,-4,"polr",TRUE,2,"mtld (z=-2.8); prop_tristeza (z=3.4)"
"L0475","El burro que acarrea sal",5,1,-4,"polr",TRUE,2,"mattr_100 (z=-3.8); yule_k (z=3.9)"
"L0696","La dama de Shalott",8,12,4,"polr",TRUE,2,"dist_dependencia_media (z=6.2); prop_tristeza (z=-3.7)"
"L0134","El coyote y la tortuga (leyenda hopi)",2,6,4,"polr",TRUE,1,"subordinadas_por_oracion (z=3.1)"
"L0238","Bolita",3,7,4,"polr",TRUE,1,"yule_k (z=-2.6)"
"L0256","El rey pico de tordo",3,7,4,"polr",TRUE,1,"long_oracion_media (z=2.9)"
"L0269","Las medias de los flamencos",3,7,4,"polr",TRUE,1,"polaridad_media (z=-4.7)"
"L0280","Ratón de campo y ratón de ciudad",3,7,4,"polr",TRUE,1,"long_oracion_media (z=3.4)"
"L0297","El consumo me consume",11,7,-4,"polr",TRUE,1,"yule_k (z=3.3)"
"L0312","La isla a mediodía",11,7,-4,"polr",TRUE,1,"entropia_shannon (z=-3)"
"L0343","La noche boca arriba",11,7,-4,"polr",TRUE,1,"entropia_shannon (z=-2.7)"
"L0477","El hombre que contaba Historias",5,1,-4,"polr",TRUE,1,"mattr_100 (z=-2.7)"
"L0679","Divina comedia",8,12,4,"polr",TRUE,1,"subordinadas_por_oracion (z=3.1)"
"L0698","La Divina Comedia",8,12,4,"polr",TRUE,1,"subordinadas_por_oracion (z=3.1)"
"L0718","Los heraldos negros",8,12,4,"polr",TRUE,1,"prop_tristeza (z=6.4)"
"L0126","Caperucita roja",2,6,4,"polr",TRUE,0,NA
"L0133","El cóndor y la pastora",2,6,4,"polr",TRUE,0,NA
"L0156","La liebre y el erizo",2,6,4,"polr",TRUE,0,NA
"L0158","La princesa y el guisante",2,6,4,"polr",TRUE,0,NA
"L0161","Las doce princesas bailarinas",2,6,4,"polr",TRUE,0,NA
"L0227","El coordinador",11,7,-4,"polr",TRUE,0,NA
"L0232","Abuelita Opalina",3,7,4,"polr",TRUE,0,NA
"L0237","Blancanieve y Rojaflor",3,7,4,"polr",TRUE,0,NA
"L0241","Cenicienta",3,7,4,"polr",TRUE,0,NA
"L0245","Cuentos por teléfono",3,7,4,"polr",TRUE,0,NA
"L0246","El amigo del duende Melodía",3,7,4,"polr",TRUE,0,NA
"L0261","La abeja haragana",3,7,4,"polr",TRUE,0,NA
"L0274","Papelucho",3,7,4,"polr",TRUE,0,NA
"L0275","Papelucho y el marciano",3,7,4,"polr",TRUE,0,NA
"L0291","Carol",11,7,-4,"polr",TRUE,0,NA
"L0294","Daisy Miller",11,7,-4,"polr",TRUE,0,NA
"L0302","El señor de las moscas",11,7,-4,"polr",TRUE,0,NA
"L0305","Emma Zunz",11,7,-4,"polr",TRUE,0,NA
"L0308","Hechos consumados",11,7,-4,"polr",TRUE,0,NA
"L0317","Lagar",11,7,-4,"polr",TRUE,0,NA
"L0318","Las babas del diablo",11,7,-4,"polr",TRUE,0,NA
"L0319","Las batallas en el desierto",11,7,-4,"polr",TRUE,0,NA
"L0320","Las relaciones peligrosas",11,7,-4,"polr",TRUE,0,NA
"L0321","Los dones previsibles",11,7,-4,"polr",TRUE,0,NA
"L0328","Poesías completas",11,7,-4,"polr",TRUE,0,NA
"L0329","Primer amor",11,7,-4,"polr",TRUE,0,NA
"L0330","Qué vergüenza",11,7,-4,"polr",TRUE,0,NA
"L0331","Recado confidencial a los chilenos",11,7,-4,"polr",TRUE,0,NA
"L0335","Sensatez y sentimientos",11,7,-4,"polr",TRUE,0,NA
"L0337","Tlön, Uqbar, Orbis Terti",11,7,-4,"polr",TRUE,0,NA
"L0476","El día que Txeg Txeg y Kay Kay no se saludaron",5,1,-4,"polr",TRUE,0,NA
"L0565","Cuentos escritos a máquina",8,12,4,"polr",TRUE,0,NA
"L0665","La Ilíada",8,12,4,"polr",TRUE,0,NA
"L0670","Sub-Sole",8,12,4,"polr",TRUE,0,NA
"L0675","Crónicas marcianas",8,12,4,"polr",TRUE,0,NA
"L0683","El candor del padre Brown",8,12,4,"polr",TRUE,0,NA
"L0686","El enfermo imaginario",8,12,4,"polr",TRUE,0,NA
"L0687","El fugitivo",8,12,4,"polr",TRUE,0,NA
"L0688","El fugitivo",8,12,4,"polr",TRUE,0,NA
"L0705","Obras completas",8,12,4,"polr",TRUE,0,NA
"L0709","Relatos de lo inesperado",8,12,4,"polr",TRUE,0,NA
"L0713","Viaje de un naturalista alrededor del Mundo en el navío de S.M Beagle",8,12,4,"polr",TRUE,0,NA
"L0714","La Eneida",8,12,4,"polr",TRUE,0,NA
"L0717","La hija del capitán",11,7,-4,"polr",TRUE,0,NA
"L0189","Comunicado",10,7,-3,"polr",TRUE,5,"rix (z=2.9); mattr_100 (z=-3.3); yule_k (z=4.2); entropia_shannon (z=-4.8); long_oracion_media (z=2.6)"
"L0225","Yo tengo un sueño",10,7,-3,"polr",TRUE,5,"mattr_100 (z=-6.2); mtld (z=-3.4); yule_k (z=3.8); entropia_shannon (z=-3.3); prop_alegria (z=4.2)"
"L0113","Poemas de amor",9,12,3,"polr",TRUE,4,"mattr_100 (z=-2.6); mtld (z=-2.5); subordinadas_por_oracion (z=3.3); prop_tristeza (z=3.2)"
"L0525","El rey Midas",6,3,-3,"polr",TRUE,4,"ari (z=-2.9); rix (z=-2.6); polaridad_media (z=5.9); prop_alegria (z=3)"
"L0077","El conde Lucanor",9,12,3,"polr",TRUE,3,"ari (z=2.6); long_oracion_media (z=3.4); subordinadas_por_oracion (z=5)"
"L0082","El ingenioso hidalgo don Quijote de la Mancha: segunda parte",9,12,3,"polr",TRUE,3,"ari (z=2.5); long_oracion_media (z=3.4); subordinadas_por_oracion (z=4.1)"
"L0117","Prometeo liberado",9,12,3,"polr",TRUE,3,"yule_k (z=-3.1); entropia_shannon (z=3); dist_dependencia_media (z=2.5)"
"L0186","Ayayema",10,7,-3,"polr",TRUE,3,"mattr_100 (z=4.8); mtld (z=5.7); yule_k (z=-2.9)"
"L0203","En la muerte de Laura",10,7,-3,"polr",TRUE,3,"mattr_100 (z=-2.8); entropia_shannon (z=-2.8); prop_alegria (z=3.1)"
"L0369","El burro flautista",4,1,-3,"polr",TRUE,3,"mattr_100 (z=-2.6); entropia_shannon (z=-2.7); prop_tristeza (z=3.8)"
"L0183","A la felicidad de Eumelo",10,7,-3,"polr",TRUE,2,"mtld (z=2.7); polaridad_media (z=-2.8)"
"L0214","Memorias de un emigrante",10,7,-3,"polr",TRUE,2,"mattr_100 (z=2.6); mtld (z=2.9)"
"L0286","El gato con botas",3,6,3,"polr",TRUE,2,"long_oracion_media (z=3.4); subordinadas_por_oracion (z=3)"
"L0371","El enano saltarín (Rumpelstilzchen",4,7,3,"polr",TRUE,2,"rix (z=3); szigriszt_pazos (z=-2.7)"
"L0372","El flautista de Hamelin",4,1,-3,"polr",TRUE,2,"rix (z=2.5); prop_alegria (z=3.9)"
"L0396","Leyenda del copihue (leyenda mapuche)",4,1,-3,"polr",TRUE,2,"polaridad_media (z=-4.6); prop_tristeza (z=3.1)"
"L0079","El estudiante de Salamanca",9,12,3,"polr",TRUE,1,"polaridad_media (z=-2.7)"
"L0091","Historia de cronopios y famas",9,12,3,"polr",TRUE,1,"rix (z=2.6)"
"L0097","La casa de Asterión",9,6,-3,"polr",TRUE,1,"entropia_shannon (z=-4.2)"
"L0216","Moradas",10,7,-3,"polr",TRUE,1,"subordinadas_por_oracion (z=2.5)"
"L0219","Panteísmo",10,7,-3,"polr",TRUE,1,"prop_alegria (z=2.9)"
"L0359","¡Judy Moody es doctora!",4,7,3,"polr",TRUE,1,"dist_dependencia_media (z=-2.6)"
"L0381","El tigre negro y el venado blanco",4,7,3,"polr",TRUE,1,"prop_tristeza (z=2.7)"
"L0403","Antiguo Testamento",4,7,3,"polr",TRUE,1,"mtld (z=-2.5)"
"L0534","La caja de Pandora",6,3,-3,"polr",TRUE,1,"entropia_shannon (z=-3.2)"
"L0061","Canción del río indiferente",9,12,3,"polr",TRUE,0,NA
"L0066","Cuentos de amor, de locura y de muerte",9,12,3,"polr",TRUE,0,NA
"L0069","Décimas de la Negra Ester",9,12,3,"polr",TRUE,0,NA
"L0073","Drácula",9,12,3,"polr",TRUE,0,NA
"L0075","El barón de Münchhausen",9,12,3,"polr",TRUE,0,NA
"L0076","El conde de Montecristo",9,12,3,"polr",TRUE,0,NA
"L0088","Fedra",9,12,3,"polr",TRUE,0,NA
"L0095","Jane Eyre",9,12,3,"polr",TRUE,0,NA
"L0102","La ópera de dos centavos",9,12,3,"polr",TRUE,0,NA
"L0110","Ópera de los dos centavos",9,12,3,"polr",TRUE,0,NA
"L0119","Rimas y leyendas",9,12,3,"polr",TRUE,0,NA
"L0121","Un cuento de navidad",9,12,3,"polr",TRUE,0,NA
"L0184","Al sur de la Alameda",10,7,-3,"polr",TRUE,0,NA
"L0185","Año nuevo en Gander",10,7,-3,"polr",TRUE,0,NA
"L0191","Cuánta tierra necesita un hombre",10,7,-3,"polr",TRUE,0,NA
"L0193","De ratones y de hombres",10,7,-3,"polr",TRUE,0,NA
"L0196","El dador",10,7,-3,"polr",TRUE,0,NA
"L0197","El inspector",10,7,-3,"polr",TRUE,0,NA
"L0198","El retrato de Dorian Gray",10,7,-3,"polr",TRUE,0,NA
"L0199","El señor de las moscas",10,7,-3,"polr",TRUE,0,NA
"L0200","El señor de los anillos",10,7,-3,"polr",TRUE,0,NA
"L0201","El señor de los anillos: La comunidad del anillo",10,7,-3,"polr",TRUE,0,NA
"L0204","Flores para Algernon",10,7,-3,"polr",TRUE,0,NA
"L0205","Frankenstein o el moderno Prometeo",10,7,-3,"polr",TRUE,0,NA
"L0209","La perla",10,7,-3,"polr",TRUE,0,NA
"L0218","No pasó nada",10,7,-3,"polr",TRUE,0,NA
"L0221","Rebeldes",10,7,-3,"polr",TRUE,0,NA
"L0222","Rebelión en la granja",10,7,-3,"polr",TRUE,0,NA
"L0226","El coordinador",10,7,-3,"polr",TRUE,0,NA
"L0239","Carlota y la Mona Lisa",3,6,3,"polr",TRUE,0,NA
"L0240","Carlota y Monna Lisa",3,6,3,"polr",TRUE,0,NA
"L0250","El flojo, el sabio y el lobo",3,6,3,"polr",TRUE,0,NA
"L0252","El loro pelado",3,6,3,"polr",TRUE,0,NA
"L0268","Las hadas",3,6,3,"polr",TRUE,0,NA
"L0277","Piedras de fuego",3,6,3,"polr",TRUE,0,NA
"L0278","Pulgarcita",3,6,3,"polr",TRUE,0,NA
"L0362","Angélica",4,7,3,"polr",TRUE,0,NA
"L0368","Cuentos para niños",4,7,3,"polr",TRUE,0,NA
"L0373","El gallito de oro",4,7,3,"polr",TRUE,0,NA
"L0375","El patito feo",4,7,3,"polr",TRUE,0,NA
"L0378","El ruiseñor",4,7,3,"polr",TRUE,0,NA
"L0379","El soldadito de plomo",4,7,3,"polr",TRUE,0,NA
"L0380","El terror del sexto B",4,7,3,"polr",TRUE,0,NA
"L0383","Fray Perico y su borrico",4,7,3,"polr",TRUE,0,NA
"L0384","Ícaro y Dédalo (mito griego",4,1,-3,"polr",TRUE,0,NA
"L0385","La bella y la bestia",4,7,3,"polr",TRUE,0,NA
"L0387","La caperucita roja",4,7,3,"polr",TRUE,0,NA
"L0388","La creación del mundo (mito mapuche)",4,7,3,"polr",TRUE,0,NA
"L0389","La leyenda del Pehuén (leyenda mapuche)",4,1,-3,"polr",TRUE,0,NA
"L0390","La nariz",4,7,3,"polr",TRUE,0,NA
"L0395","Las tres mentiras",4,1,-3,"polr",TRUE,0,NA
"L0397","Los duraznos",4,1,-3,"polr",TRUE,0,NA
"L0398","Medusa (mito griego)",4,7,3,"polr",TRUE,0,NA
"L0401","Un ladrón entre nosotros",4,7,3,"polr",TRUE,0,NA
"L0055","Para ver y no creer",1,3,2,"polr",TRUE,5,"szigriszt_pazos (z=2.5); mattr_100 (z=5.2); mtld (z=20.5); yule_k (z=-5.2); entropia_shannon (z=4)"
"L0212","Mapurbe",10,12,2,"polr",TRUE,5,"ari (z=6.4); rix (z=6.6); szigriszt_pazos (z=-4.3); long_oracion_media (z=5.8); subordinadas_por_oracion (z=4.5)"
"L0120","Satiricón",9,7,-2,"polr",TRUE,4,"mattr_100 (z=5.1); mtld (z=9.9); yule_k (z=-3.7); entropia_shannon (z=5.8)"
"L0060","Antiguo Testamento",9,7,-2,"polr",TRUE,3,"mattr_100 (z=-4.4); mtld (z=-2.6); yule_k (z=2.5)"
"L0063","Creación del hombre. Popol Vuh",9,7,-2,"polr",TRUE,3,"mattr_100 (z=-4); mtld (z=-2.5); entropia_shannon (z=-2.8)"
"L0071","Domo y Lituche",9,7,-2,"polr",TRUE,3,"polaridad_media (z=2.8); prop_alegria (z=3.4); prop_tristeza (z=-2.9)"
"L0109","Odio al árbol",9,7,-2,"polr",TRUE,3,"entropia_shannon (z=-3.4); polaridad_media (z=2.7); prop_tristeza (z=-3.6)"
"L0253","El pájaro del alma",3,1,-2,"polr",TRUE,3,"mattr_100 (z=-4.8); mtld (z=-3.9); yule_k (z=4.5)"
"L0062","Carta de Dickens a su hijo",9,7,-2,"polr",TRUE,2,"entropia_shannon (z=-5); prop_tristeza (z=2.9)"
"L0083","El lazarillo de Tormes",9,7,-2,"polr",TRUE,2,"long_oracion_media (z=2.6); subordinadas_por_oracion (z=3.2)"
"L0194","Don Quijote de la Mancha: segunda parte",10,12,2,"polr",TRUE,2,"long_oracion_media (z=2.7); subordinadas_por_oracion (z=3.5)"
"L0208","Inmóvil en la luz, pero danzante,",10,12,2,"polr",TRUE,2,"dist_dependencia_media (z=7.7); prop_alegria (z=2.6)"
"L0479","El oso, la mona y el cerdo",5,3,-2,"polr",TRUE,2,"szigriszt_pazos (z=2.9); mattr_100 (z=2.8)"
"L0501","Rip Van Winkle",5,7,2,"polr",TRUE,2,"rix (z=2.8); szigriszt_pazos (z=-2.7)"
"L0668","Don Quijote de la Mancha: primera parte",10,12,2,"polr",TRUE,2,"long_oracion_media (z=2.5); subordinadas_por_oracion (z=3.7)"
"L0011","El león y los cuatro bueyes",1,3,2,"polr",TRUE,1,"subordinadas_por_oracion (z=3.2)"
"L0030","La cigarra y la hormiga",1,3,2,"polr",TRUE,1,"prop_alegria (z=2.5)"
"L0043","Los duendes y el zapatero",1,3,2,"polr",TRUE,1,"subordinadas_por_oracion (z=2.6)"
"L0072","Don Juan Tenorio",9,7,-2,"polr",TRUE,1,"szigriszt_pazos (z=2.6)"
"L0084","El libro talonario",9,7,-2,"polr",TRUE,1,"entropia_shannon (z=-2.7)"
"L0086","El verdadero final de la bella durmiente",9,7,-2,"polr",TRUE,1,"prop_alegria (z=2.9)"
"L0090","Himno a la noche",9,7,-2,"polr",TRUE,1,"prop_alegria (z=3.9)"
"L0094","Iván el imbécil",9,7,-2,"polr",TRUE,1,"mattr_100 (z=-2.6)"
"L0100","La Nona",9,7,-2,"polr",TRUE,1,"dist_dependencia_media (z=-2.8)"
"L0211","Los actuales dilemas del Desarrollo Humano en Chile",10,12,2,"polr",TRUE,1,"mattr_100 (z=-3.2)"
"L0215","Miltín 1934",10,12,2,"polr",TRUE,1,"mattr_100 (z=2.9)"
"L0255","El pescador y el pececito dorado",3,1,-2,"polr",TRUE,1,"polaridad_media (z=-3.4)"
"L0270","Los dos amigos y el oso",3,1,-2,"polr",TRUE,1,"yule_k (z=4.4)"
"L0271","Los dos conejos",3,1,-2,"polr",TRUE,1,"long_oracion_media (z=-2.5)"
"L0474","El asno descontento",5,3,-2,"polr",TRUE,1,"subordinadas_por_oracion (z=2.6)"
"L0478","El lobo y el cabrito",5,3,-2,"polr",TRUE,1,"subordinadas_por_oracion (z=4.3)"
"L0484","Episdio de los molinos de viento (Don Quijote de la Mancha)",5,3,-2,"polr",TRUE,1,"subordinadas_por_oracion (z=4.4)"
"L0490","Las babuchas fatídicas (Las mil y una noches)",5,7,2,"polr",TRUE,1,"rix (z=2.6)"
