orf,bytes,used_in_paper
YBL013W,1242530,FALSE
YBL014C,2731733,FALSE
YBL015W,1610534,FALSE
YBL016W,1084814,FALSE
YBL017C,4829558,FALSE
YBL018C,495400,FALSE
YBL019W,1609523,FALSE
YBL020W,1755107,FALSE
YBL021C,450916,FALSE
YBL022C,3450554,FALSE
YBL023C,2652875,FALSE
YBL024W,2100869,FALSE
YBL025W,453949,FALSE
YBL026W,432718,FALSE
YBL027W,978658,FALSE
YBL028C,336673,FALSE
YBL029W,1222310,FALSE
YBL030C,978658,FALSE
YBL031W,1054484,FALSE
YBL032W,1170749,FALSE
YBL033C,1060550,FALSE
YBL034C,4713293,FALSE
YBL035C,2169617,FALSE
YBL036C,793645,FALSE
YBL037W,3141188,FALSE
YBL038W,717820,FALSE
YBL039C,1770272,FALSE
YBL040C,777469,FALSE
YBL041W,774436,FALSE
YBL042C,1959329,FALSE
YBL043W,793645,FALSE
YBL044W,391267,FALSE
YBL045C,1401257,FALSE
YBL046W,1429565,FALSE
YBL047C,4303838,FALSE
YBL048W,335662,FALSE
YBL049W,432718,FALSE
YBL050W,1017076,FALSE
YBL051C,2060429,FALSE
YBL052C,2619512,FALSE
YBL053W,396322,FALSE
YBL054W,1676249,FALSE
YBL055C,1281959,FALSE
YBL056W,1433609,FALSE
YBL057C,645028,FALSE
YBL058W,1418444,FALSE
YBL059W,669292,FALSE
YBL060W,2097836,FALSE
YBL061C,2126144,FALSE
YBL062W,396322,FALSE
YBL063W,3386861,FALSE
YBL064C,805777,FALSE
YBL065W,364981,FALSE
YBL066C,3499082,FALSE
YBL067C,2281838,FALSE
YBL068W,1002922,FALSE
YBL069W,1328465,FALSE
YBL070C,336673,FALSE
YBL071C,439795,FALSE
YBL072C,945295,FALSE
YBL073W,329596,FALSE
YBL074C,1090880,FALSE
YBL075C,1983593,FALSE
YBL076C,3265541,FALSE
YBL077W,447883,FALSE
YBL078C,369025,FALSE
YBL079W,4587929,FALSE
YBL080C,1655018,FALSE
YBL081W,1402268,FALSE
YBL082C,1476071,FALSE
YBL083C,441817,FALSE
YBL084C,2386982,FALSE
YBL085W,3059297,FALSE
YBL086C,1427543,FALSE
YBL087C,968548,FALSE
YBL088C,8504543,FALSE
YBL089W,1406312,FALSE
YBL090W,551005,FALSE
YBL091C,1291058,FALSE
YBL092W,777469,FALSE
YBL093C,681424,FALSE
YBL094C,347794,FALSE
YBL095W,833074,FALSE
YBL096C,325552,FALSE
YBL097W,2310146,FALSE
YBL098W,1409345,FALSE
YBL099W,1667150,FALSE
YBL100C,333640,FALSE
YBL101C,3402026,FALSE
YBL102W,666259,FALSE
YBL103C,1488203,FALSE
YBL104C,3163430,FALSE
YBL105C,3507170,FALSE
YBL106C,3099737,FALSE
YBL107C,609643,FALSE
YBL108W,364981,FALSE
YBL109W,448894,FALSE
YBL111C,2137265,FALSE
YBL112C,332629,FALSE
YBL113C,2539643,FALSE
YBR001C,2380916,FALSE
YBR002C,881602,FALSE
YBR003W,1450796,FALSE
YBR004C,1333520,FALSE
YBR005W,661204,FALSE
YBR006W,1523588,FALSE
YBR007C,2255552,FALSE
YBR008C,1699502,FALSE
YBR009C,326563,FALSE
YBR010W,426652,FALSE
YBR011C,884635,FALSE
YBR012C,445861,FALSE
YBR013C,421597,FALSE
YBR014C,629863,FALSE
YBR015C,1824866,FALSE
YBR016W,510565,FALSE
YBR017C,2860130,FALSE
YBR018C,1125254,FALSE
YBR019C,2141309,FALSE
YBR020W,1696469,FALSE
YBR021W,2016956,FALSE
YBR022W,569203,FALSE
YBR023C,3547610,FALSE
YBR024W,928108,FALSE
YBR025C,1209167,FALSE
YBR026C,1166705,FALSE
YBR027C,353860,FALSE
YBR028C,1606490,TRUE
YBR029C,1402268,FALSE
YBR030W,1917878,FALSE
YBR031W,1112111,FALSE
YBR032W,327574,FALSE
YBR033W,2810591,FALSE
YBR034C,1069649,FALSE
YBR035C,705688,FALSE
YBR036C,1263761,FALSE
YBR037C,963493,FALSE
YBR038W,2934944,FALSE
YBR039W,957427,FALSE
YBR040W,941251,FALSE
YBR041W,2056385,FALSE
YBR042C,1264772,FALSE
YBR043C,2106935,FALSE
YBR044C,1767239,FALSE
YBR045C,1953263,FALSE
YBR046C,1027187,FALSE
YBR047W,544939,FALSE
YBR048W,1014043,FALSE
YBR049C,2507291,FALSE
YBR050C,1188947,FALSE
YBR051W,371047,FALSE
YBR052C,652105,FALSE
YBR053C,1099979,FALSE
YBR054W,1128287,FALSE
YBR055C,2740832,FALSE
YBR056W,1533698,FALSE
YBR057C,1124243,FALSE
YBR058C,2382938,FALSE
YBR059C,3474818,FALSE
YBR060C,1904735,FALSE
YBR061C,954394,FALSE
YBR062C,722875,FALSE
YBR063C,1253651,FALSE
YBR064W,473158,FALSE
YBR065C,1122221,FALSE
YBR066C,681424,FALSE
YBR067C,875536,FALSE
YBR068C,1861262,FALSE
YBR069C,1892603,FALSE
YBR070C,732985,FALSE
YBR071W,660193,FALSE
YBR072W,663226,FALSE
YBR073W,2925845,TRUE
YBR074W,2975384,FALSE
YBR076W,1087847,FALSE
YBR077C,505510,FALSE
YBR078W,1696469,FALSE
YBR079C,3216002,FALSE
YBR080C,2313179,FALSE
YBR081C,4064231,FALSE
YBR082C,564148,FALSE
YBR083W,1525610,FALSE
YBR084W,2971340,FALSE
YBR085W,945295,FALSE
YBR086C,3153320,FALSE
YBR087W,1087847,FALSE
YBR088C,809821,FALSE
YBR089W,617731,FALSE
YBR090C,781513,FALSE
YBR091C,344761,FALSE
YBR092C,1439675,FALSE
YBR093C,1440686,FALSE
YBR094W,2302058,FALSE
YBR095C,1318355,FALSE
YBR096W,711754,FALSE
YBR097W,4426169,FALSE
YBR098W,2114012,FALSE
YBR099C,399355,FALSE
YBR101C,902833,FALSE
YBR102C,2300036,FALSE
YBR103W,1668161,FALSE
YBR104W,1012021,FALSE
YBR105C,1152551,FALSE
YBR106W,584368,FALSE
YBR107C,757249,FALSE
YBR108W,3656798,FALSE
YBR109C,460015,FALSE
YBR110W,1375982,FALSE
YBR111C,714787,FALSE
YBR112C,4121858,FALSE
YBR113W,571225,FALSE
YBR114W,2423378,FALSE
YBR115C,4237112,FALSE
YBR116C,579313,FALSE
YBR117C,2086715,FALSE
YBR118W,1403279,FALSE
YBR119W,1012021,FALSE
YBR120C,505510,FALSE
YBR121C,2043242,FALSE
YBR122C,551005,FALSE
YBR123C,1988648,FALSE
YBR124W,375091,FALSE
YBR125C,1206134,FALSE
YBR126C,1515500,FALSE
YBR127C,1582226,FALSE
YBR128C,1057517,FALSE
YBR129C,1021120,FALSE
YBR130C,1303190,FALSE
YBR131W,2149397,FALSE
YBR132C,1832954,FALSE
YBR133C,2522456,FALSE
YBR134W,469114,FALSE
YBR135W,523708,FALSE
YBR136W,7246859,FALSE
YBR137W,622786,FALSE
YBR138C,1604468,FALSE
YBR139W,1554929,FALSE
YBR140C,9433652,FALSE
YBR141C,1036286,FALSE
YBR142W,2538632,FALSE
YBR143C,1339586,FALSE
YBR144C,338695,FALSE
YBR145W,1082792,FALSE
YBR146W,857338,FALSE
YBR147W,949339,FALSE
YBR148W,1870361,FALSE
YBR149W,1058528,FALSE
YBR150C,3640622,FALSE
YBR151W,1072682,FALSE
YBR152W,994834,FALSE
YBR153W,757249,FALSE
YBR154C,666259,FALSE
YBR155W,1181870,FALSE
YBR156C,2131199,FALSE
YBR157C,789601,FALSE
YBR158W,1679282,TRUE
YBR159W,1066616,TRUE
YBR160W,917998,FALSE
YBR161W,1177826,FALSE
YBR162C,1503368,FALSE
YBR163W,1788470,FALSE
YBR164C,569203,FALSE
YBR165W,854305,FALSE
YBR166C,1385081,FALSE
YBR167C,438784,FALSE
YBR168W,1266794,FALSE
YBR169C,2116034,FALSE
YBR170C,1773305,FALSE
YBR171W,638962,FALSE
YBR172C,2322278,FALSE
YBR173C,463048,FALSE
YBR174C,330607,FALSE
YBR175W,970570,FALSE
YBR176W,961471,FALSE
YBR177C,1382048,FALSE
YBR178W,395311,FALSE
YBR179C,2607380,FALSE
YBR180W,1751063,FALSE
YBR181C,1093913,FALSE
YBR182C,1385081,FALSE
YBR183W,972592,FALSE
YBR184W,1603457,FALSE
YBR185C,857338,FALSE
YBR186W,1887548,FALSE
YBR187W,863404,FALSE
YBR188C,438784,FALSE
YBR189W,1106045,FALSE
YBR190W,328585,FALSE
YBR191W,965515,FALSE
YBR192W,1157606,FALSE
YBR193C,690523,FALSE
YBR194W,388234,FALSE
YBR195C,1294091,FALSE
YBR196C,1694447,FALSE
YBR197C,672325,FALSE
YBR198C,2434499,FALSE
YBR199W,1422488,FALSE
YBR200W,1685348,FALSE
YBR201W,655138,FALSE
YBR202W,2577050,FALSE
YBR203W,2820701,FALSE
YBR204C,1178837,FALSE
YBR205W,1239497,FALSE
YBR206W,338695,FALSE
YBR207W,1429565,FALSE
YBR208C,5596907,FALSE
YBR209W,333640,FALSE
YBR210W,444850,FALSE
YBR211C,996856,FALSE
YBR212W,2203991,FALSE
YBR213W,845206,FALSE
YBR214W,1612556,FALSE
YBR215W,1996736,FALSE
YBR216C,2060429,FALSE
YBR217W,578302,FALSE
YBR218C,3595127,FALSE
YBR219C,840151,FALSE
YBR220C,1712645,FALSE
YBR221C,1139408,FALSE
YBR222C,1662095,FALSE
YBR223C,1664117,FALSE
YBR224W,545950,FALSE
YBR225W,2771162,FALSE
YBR226C,445861,FALSE
YBR227C,1591325,FALSE
YBR228W,937207,FALSE
YBR229C,2909669,FALSE
YBR230C,538873,FALSE
YBR231C,966526,FALSE
YBR232C,433729,FALSE
YBR233W,1324421,FALSE
YBR234C,1178837,FALSE
YBR235W,3412136,FALSE
YBR236C,1336553,FALSE
YBR237W,2589182,FALSE
YBR238C,2264651,FALSE
YBR239C,1618622,TRUE
YBR240C,1379015,FALSE
YBR241C,1494269,FALSE
YBR242W,737029,FALSE
YBR243C,1372949,FALSE
YBR244W,535840,FALSE
YBR245C,3450554,FALSE
YBR246W,1189958,FALSE
YBR247C,1503368,FALSE
YBR248C,1688381,FALSE
YBR249C,1136375,FALSE
YBR250W,1602446,FALSE
YBR251W,945295,FALSE
YBR252W,460015,FALSE
YBR253W,381157,FALSE
YBR254C,544939,FALSE
YBR255W,2119067,FALSE
YBR256C,736018,FALSE
YBR257W,860371,FALSE
YBR258C,445861,FALSE
YBR259W,2102891,FALSE
YBR260C,2034143,FALSE
YBR261C,718831,FALSE
YBR262C,335662,FALSE
YBR263W,1500335,FALSE
YBR264C,617731,FALSE
YBR265W,985735,FALSE
YBR266C,469114,FALSE
YBR267W,1206134,FALSE
YBR268W,332629,FALSE
YBR269C,432718,FALSE
YBR270C,1667150,FALSE
YBR271W,1284992,FALSE
YBR272C,1462928,TRUE
YBR273C,1336553,FALSE
YBR274W,1613567,FALSE
YBR275C,5826404,FALSE
YBR276C,2467862,FALSE
YBR277C,422608,FALSE
YBR278W,634918,FALSE
YBR279W,1464950,FALSE
YBR280C,1946186,FALSE
YBR281C,2677139,FALSE
YBR282W,456982,FALSE
YBR283C,1500335,FALSE
YBR284W,2442587,FALSE
YBR285W,450916,FALSE
YBR286W,1642886,FALSE
YBR287W,1309256,FALSE
YBR288C,1496291,FALSE
YBR289W,3834734,FALSE
YBR290W,987757,FALSE
YBR291C,921031,FALSE
YBR292C,422608,FALSE
YBR293W,1494269,TRUE
YBR294W,2623556,FALSE
YBR295W,3847877,FALSE
YBR296C,1795547,FALSE
YBR297W,1508423,FALSE
YBR298C,2042231,FALSE
YBR299W,1792514,FALSE
YBR300C,543928,FALSE
YBR301W,399355,FALSE
YBR302C,1173782,FALSE
YCL001W,584368,FALSE
YCL002C,943273,FALSE
YCL004W,1605479,FALSE
YCL005W,790612,FALSE
YCL007C,429685,FALSE
YCL008C,1183892,FALSE
YCL009C,951361,FALSE
YCL010C,799711,FALSE
YCL011C,1310267,FALSE
YCL012C,488323,FALSE
YCL014W,5002439,FALSE
YCL016C,1166705,FALSE
YCL017C,1522577,FALSE
YCL018W,1145474,FALSE
YCL022C,532807,FALSE
YCL023C,387223,FALSE
YCL024W,3176573,FALSE
YCL025C,1934054,TRUE
YCL027W,1586270,FALSE
YCL028W,1562006,FALSE
YCL029C,1385081,FALSE
YCL030C,2437532,FALSE
YCL031C,914965,FALSE
YCL032W,1063583,FALSE
YCL033C,524719,FALSE
YCL034W,1087847,FALSE
YCL035C,349816,FALSE
YCL036W,1755107,FALSE
YCL037C,1333520,FALSE
YCL038C,1621655,FALSE
YCL039W,2276783,FALSE
YCL040W,1530665,FALSE
YCL041C,672325,FALSE
YCL042W,417553,FALSE
YCL043C,1742975,FALSE
YCL044C,1278926,FALSE
YCL045C,2319245,FALSE
YCL046W,358915,FALSE
YCL047C,796678,FALSE
YCL048W,1418444,FALSE
YCL049C,964504,FALSE
YCL050C,987757,FALSE
YCL051W,1826888,FALSE
YCL052C,1276904,FALSE
YCL054W,2567951,FALSE
YCL055W,1031231,FALSE
YCL056C,450916,FALSE
YCL057W,2173661,FALSE
YCL058C,493378,FALSE
YCL059C,972592,FALSE
YCL061C,3365630,FALSE
YCL063W,1303190,FALSE
YCL064C,1109078,FALSE
YCL065W,387223,FALSE
YCL066W,544939,FALSE
YCL067C,651094,FALSE
YCL068C,803755,FALSE
YCL069W,1407323,FALSE
YCL073C,2036165,FALSE
YCL076W,936196,FALSE
YCR001W,338695,FALSE
YCR002C,990790,FALSE
YCR003W,570214,FALSE
YCR004C,763315,FALSE
YCR005C,1410356,FALSE
YCR006C,553027,FALSE
YCR007C,765337,FALSE
YCR008W,1849130,FALSE
YCR009C,817909,FALSE
YCR010C,872503,FALSE
YCR011C,3195782,FALSE
YCR012W,1280948,FALSE
YCR013C,677380,FALSE
YCR014C,1852163,FALSE
YCR015C,1000900,FALSE
YCR016W,893734,FALSE
YCR017C,2941010,FALSE
YCR018C,694567,FALSE
YCR019W,1115144,FALSE
YCR020C,670303,FALSE
YCR021C,1024154,FALSE
YCR022C,381157,FALSE
YCR023C,1870361,FALSE
YCR024C,1506401,FALSE
YCR025C,469114,FALSE
YCR026C,2424389,FALSE
YCR027C,648061,FALSE
YCR028C,1648952,TRUE
YCR030C,2707469,FALSE
YCR031C,743095,FALSE
YCR032W,6587687,FALSE
YCR033W,3732623,FALSE
YCR034W,1066616,FALSE
YCR035C,1209167,FALSE
YCR036W,1037297,FALSE
YCR037C,2814635,FALSE
YCR038C,1965395,FALSE
YCR039C,651094,FALSE
YCR040W,544939,FALSE
YCR041W,347794,FALSE
YCR042C,4333157,FALSE
YCR043C,471136,FALSE
YCR044C,1150529,FALSE
YCR045C,1503368,FALSE
YCR046C,526741,FALSE
YCR047C,848239,FALSE
YCR048W,1988648,FALSE
YCR049C,592456,FALSE
YCR050C,323530,FALSE
YCR051W,687490,FALSE
YCR052W,1485170,FALSE
YCR053W,1573127,FALSE
YCR054C,1721744,FALSE
YCR057C,2850020,FALSE
YCR059C,830041,FALSE
YCR060W,350827,FALSE
YCR061W,2133221,TRUE
YCR063W,520675,FALSE
YCR064C,464059,FALSE
YCR065W,1724777,FALSE
YCR066W,1491236,FALSE
YCR067C,4074341,FALSE
YCR068W,1591325,FALSE
YCR069W,979669,FALSE
YCR071C,456982,FALSE
YCR072C,1577171,FALSE
YCR073C,4086473,FALSE
YCR075C,803755,FALSE
YCR076C,796678,FALSE
YCR077C,2464829,FALSE
YCR079W,1354751,FALSE
YCR081W,4353377,FALSE
YCR082W,402388,FALSE
YCR083W,399355,FALSE
YCR084C,2250497,FALSE
YCR085W,374080,FALSE
YCR086W,590434,FALSE
YCR087W,629863,FALSE
YCR088W,1921922,FALSE
YCR089W,6309662,FALSE
YCR090C,566170,FALSE
YCR091W,2210057,FALSE
YCR092C,3113891,FALSE
YCR093W,6456257,FALSE
YCR094W,1200068,FALSE
YCR095C,1112111,FALSE
YCR096C,375091,FALSE
YCR097W,505510,FALSE
YCR098C,1656029,FALSE
YCR099C,488323,FALSE
YCR100C,980680,FALSE
YCR101C,605599,FALSE
YCR102C,1145474,FALSE
YCR104W,477202,FALSE
YCR105W,1110089,FALSE
YCR106W,2549753,FALSE
YCR107W,1130309,FALSE
YCR108C,467092,FALSE
YDL001W,1318355,FALSE
YDL002C,629863,FALSE
YDL003W,1730843,FALSE
YDL004W,499444,FALSE
YDL005C,1415411,FALSE
YDL006W,866437,FALSE
YDL007W,1339586,FALSE
YDL008W,515620,FALSE
YDL009C,352849,FALSE
YDL010W,714787,FALSE
YDL011C,338695,FALSE
YDL012C,480235,FALSE
YDL013W,1891592,FALSE
YDL014W,1018087,FALSE
YDL015C,954394,FALSE
YDL016C,317464,FALSE
YDL017W,1551896,FALSE
YDL018C,697600,FALSE
YDL019C,3908537,FALSE
YDL020C,1642886,FALSE
YDL021W,964504,TRUE
YDL022W,1200068,FALSE
YDL023C,369025,FALSE
YDL024C,1546841,FALSE
YDL025C,1897658,FALSE
YDL026W,335662,FALSE
YDL027C,1298135,FALSE
YDL028C,2331377,FALSE
YDL029W,1324421,FALSE
YDL030W,1621655,FALSE
YDL031W,3086594,FALSE
YDL032W,326563,FALSE
YDL033C,1278926,FALSE
YDL034W,363970,FALSE
YDL035C,3331256,FALSE
YDL036C,1417433,FALSE
YDL037C,1201079,FALSE
YDL039C,4048055,FALSE
YDL040C,2606369,FALSE
YDL041W,369025,FALSE
YDL042C,1718711,FALSE
YDL043C,820942,FALSE
YDL044C,1361828,FALSE
YDL045C,942262,FALSE
YDL046W,538873,FALSE
YDL047W,957427,TRUE
YDL048C,1528643,FALSE
YDL049C,827008,FALSE
YDL050C,388234,FALSE
YDL051W,850261,FALSE
YDL052C,934174,FALSE
YDL053C,588412,FALSE
YDL054C,1565039,FALSE
YDL055C,1111100,FALSE
YDL056W,2540654,FALSE
YDL057W,1021120,FALSE
YDL058W,5915372,FALSE
YDL059C,741073,FALSE
YDL060W,2404169,FALSE
YDL061C,626830,FALSE
YDL062W,443839,FALSE
YDL063C,1894625,FALSE
YDL064W,601555,FALSE
YDL065C,1057517,FALSE
YDL066W,1313300,FALSE
YDL067C,193111,FALSE
YDL068W,344761,FALSE
YDL069C,708721,FALSE
YDL070W,1994714,FALSE
YDL071C,398344,FALSE
YDL072C,629863,FALSE
YDL073W,3060308,FALSE
YDL074C,2151419,FALSE
YDL075W,794656,FALSE
YDL076C,906877,FALSE
YDL077C,3195782,FALSE
YDL078C,1054484,FALSE
YDL079C,1902713,FALSE
YDL080C,1863284,FALSE
YDL081C,353860,FALSE
YDL082W,987757,FALSE
YDL083C,891712,FALSE
YDL084W,1372949,FALSE
YDL085W,1667150,FALSE
YDL086W,842173,FALSE
YDL087C,805777,FALSE
YDL088C,1688381,FALSE
YDL089W,1482137,FALSE
YDL090C,1321388,FALSE
YDL091C,1394180,FALSE
YDL092W,456982,FALSE
YDL093W,2267684,FALSE
YDL094C,542917,FALSE
YDL095W,2492126,FALSE
YDL096C,341728,FALSE
YDL097C,1330487,FALSE
YDL098C,602566,FALSE
YDL099W,1048418,FALSE
YDL100C,1087847,FALSE
YDL101C,1570094,FALSE
YDL102W,3341366,FALSE
YDL103C,1460906,FALSE
YDL104C,1248596,FALSE
YDL105W,1233431,FALSE
YDL106C,1730843,FALSE
YDL107W,1078748,FALSE
YDL108W,1026176,FALSE
YDL109C,1981571,FALSE
YDL110C,527752,TRUE
YDL111C,817909,FALSE
YDL112W,4371575,FALSE
YDL113C,1957307,FALSE
YDL114W,948328,FALSE
YDL115C,1234442,FALSE
YDL116W,2216123,FALSE
YDL117W,2716568,FALSE
YDL118W,396322,FALSE
YDL119C,945295,FALSE
YDL120W,541906,FALSE
YDL121C,466081,FALSE
YDL122W,2485049,FALSE
YDL123W,439795,FALSE
YDL124W,963493,FALSE
YDL125C,608632,FALSE
YDL126C,2547731,FALSE
YDL127W,948328,FALSE
YDL128W,1262750,FALSE
YDL129W,897778,FALSE
YDL130W,645028,FALSE
YDL131W,1408334,FALSE
YDL132W,2486060,FALSE
YDL133W,1339586,FALSE
YDL134C,1138397,FALSE
YDL135C,626830,FALSE
YDL136W,796678,FALSE
YDL137W,946306,FALSE
YDL138W,2331377,FALSE
YDL139C,690523,FALSE
YDL140C,5574665,FALSE
YDL141W,2197925,FALSE
YDL142C,872503,FALSE
YDL143W,1615589,FALSE
YDL144C,1094924,FALSE
YDL145C,3656798,FALSE
YDL146W,1546841,FALSE
YDL147W,1363850,FALSE
YDL148C,2470895,FALSE
YDL149W,3045143,FALSE
YDL150W,1312289,FALSE
YDL151C,617731,FALSE
YDL152W,386212,FALSE
YDL153C,1961351,FALSE
YDL154W,2748920,FALSE
YDL155W,1309256,FALSE
YDL156W,1598402,FALSE
YDL157C,372058,FALSE
YDL158C,341728,FALSE
YDL159W,1580204,FALSE
YDL160C,1548863,FALSE
YDL161W,1578182,FALSE
YDL162C,374080,FALSE
YDL163W,317464,FALSE
YDL164C,2304080,FALSE
YDL165W,593467,FALSE
YDL166C,611665,FALSE
YDL167C,2314190,FALSE
YDL168W,1188947,FALSE
YDL169C,690523,FALSE
YDL170W,1618622,FALSE
YDL171C,6520961,TRUE
YDL172C,517642,FALSE
YDL173W,936196,FALSE
YDL174C,1849130,FALSE
YDL175C,1057517,FALSE
YDL176W,2161529,FALSE
YDL177C,529774,FALSE
YDL178W,1628732,FALSE
YDL179W,939229,FALSE
YDL180W,1676249,FALSE
YDL181W,271969,FALSE
YDL182W,1312289,FALSE
YDL183C,984724,FALSE
YDL184C,89988,FALSE
YDL185W,3331256,FALSE
YDL186W,869470,FALSE
YDL187C,351838,FALSE
YDL188C,1157606,FALSE
YDL189W,1614578,FALSE
YDL190C,2928878,FALSE
YDL191W,881602,FALSE
YDL192W,563137,FALSE
YDL193W,1154573,FALSE
YDL194W,2726678,FALSE
YDL195W,3881240,FALSE
YDL196W,354871,FALSE
YDL197C,1627721,FALSE
YDL198C,950350,FALSE
YDL199C,2098847,FALSE
YDL200C,584368,FALSE
YDL201W,881602,FALSE
YDL202W,781513,FALSE
YDL203C,1924955,FALSE
YDL204W,1206134,FALSE
YDL205C,1005955,FALSE
YDL206W,2326322,FALSE
YDL207W,1645919,FALSE
YDL208W,487312,FALSE
YDL209C,1042352,FALSE
YDL210W,1826888,FALSE
YDL211C,1152551,FALSE
YDL212W,651094,FALSE
YDL213C,699622,FALSE
YDL214C,2141309,FALSE
YDL215C,3330245,FALSE
YDL216C,1349696,FALSE
YDL217C,641995,FALSE
YDL218W,975625,FALSE
YDL219W,540895,FALSE
YDL220C,2841932,FALSE
YDL221W,612676,TRUE
YDL222C,957427,FALSE
YDL223C,3542555,FALSE
YDL224C,2003813,FALSE
YDL225W,1688381,FALSE
YDL226C,1081781,FALSE
YDL227C,1913834,FALSE
YDL228C,660193,FALSE
YDL229W,1873394,FALSE
YDL230W,1030220,FALSE
YDL231C,3428312,FALSE
YDL232W,140539,FALSE
YDL233W,1403279,FALSE
YDL234C,2349575,FALSE
YDL235C,520675,FALSE
YDL236W,960460,FALSE
YDL237W,1197035,FALSE
YDL238C,1583237,FALSE
YDL239C,2414279,FALSE
YDL240W,3098726,FALSE
YDL241W,389245,FALSE
YDL242W,375091,FALSE
YDL243C,1083803,FALSE
YDL244W,1045385,FALSE
YDL245C,1733876,FALSE
YDL246C,1096946,FALSE
YDL247W,1861262,FALSE
YDL248W,1291058,FALSE
YDR001C,2291948,FALSE
YDR002W,654127,FALSE
YDR003W,653116,FALSE
YDR004W,1410356,FALSE
YDR005C,1313300,TRUE
YDR006C,2746898,FALSE
YDR007W,693556,FALSE
YDR008C,365992,FALSE
YDR009W,1605479,FALSE
YDR010C,408454,FALSE
YDR011W,4567709,FALSE
YDR012W,1112111,FALSE
YDR013W,645028,FALSE
YDR014W,2009879,FALSE
YDR015C,254782,FALSE
YDR016C,299266,FALSE
YDR017C,3213980,FALSE
YDR018C,1221299,FALSE
YDR019C,1228376,FALSE
YDR020C,717820,FALSE
YDR021W,1224332,FALSE
YDR022C,609643,FALSE
YDR023W,1415411,FALSE
YDR024W,518653,FALSE
YDR025W,843184,FALSE
YDR026C,1785437,FALSE
YDR027C,2720612,FALSE
YDR028C,3095693,FALSE
YDR029W,329596,FALSE
YDR030C,1549874,FALSE
YDR031W,381157,FALSE
YDR032C,614698,FALSE
YDR033W,984724,FALSE
YDR034C,2438543,FALSE
YDR035W,1148507,FALSE
YDR036C,1533698,FALSE
YDR037W,1808690,FALSE
YDR038C,3327212,FALSE
YDR039C,3323168,FALSE
YDR040C,3336311,FALSE
YDR041W,629863,FALSE
YDR042C,620764,FALSE
YDR043C,714787,FALSE
YDR044W,1008988,FALSE
YDR045C,347794,FALSE
YDR046C,1846097,FALSE
